Timestamp,Voltage (V),Current (A),Temperature,Mode
2023-11-15 20:05:40,3.15,0.67,23.19,Discharging
2023-11-15 20:05:29,3.15,0.71,23.21,Discharging
2023-11-15 20:05:18,3.13,1.01,22.75,Discharging
2023-11-15 20:05:07,3.16,0.59,23.66,Discharging
2023-11-15 20:04:56,3.16,0.59,23.47,Discharging
2023-11-15 20:04:45,3.16,0.57,23.59,Discharging
2023-11-15 20:04:34,3.17,0.58,23.68,Discharging
2023-11-15 20:04:22,3.17,0.58,23.78,Discharging
2023-11-15 20:04:11,3.16,0.57,23.65,Discharging
2023-11-15 20:04:00,3.16,0.57,23.5,Discharging
2023-11-15 20:03:49,3.16,0.57,23.66,Discharging
2023-11-15 20:03:38,3.16,0.58,23.56,Discharging
2023-11-15 20:03:27,3.17,0.58,23.65,Discharging
2023-11-15 20:03:16,3.17,0.58,23.64,Discharging
2023-11-15 20:03:05,3.17,0.58,23.76,Discharging
2023-11-15 20:02:53,3.17,0.58,23.68,Discharging
2023-11-15 20:02:42,3.17,0.57,23.68,Discharging
2023-11-15 20:02:31,3.17,0.57,23.58,Discharging
2023-11-15 20:02:20,3.16,0.57,23.53,Discharging
2023-11-15 20:02:09,3.17,0.58,23.63,Discharging
2023-11-15 20:01:58,3.17,0.58,23.44,Discharging
2023-11-15 20:01:47,3.17,0.57,23.54,Discharging
2023-11-15 20:01:36,3.17,0.57,23.53,Discharging
2023-11-15 20:01:25,3.17,0.58,23.53,Discharging
2023-11-15 20:01:13,3.17,0.58,23.53,Discharging
2023-11-15 20:01:02,3.17,0.57,23.62,Discharging
2023-11-15 20:00:51,3.17,0.57,23.61,Discharging
2023-11-15 20:00:40,3.17,0.57,23.4,Discharging
2023-11-15 20:00:29,3.17,0.57,23.47,Discharging
2023-11-15 20:00:18,3.17,0.58,23.47,Discharging
2023-11-15 20:00:07,3.17,0.58,23.66,Discharging
2023-11-15 19:59:56,3.17,0.57,23.56,Discharging
2023-11-15 19:59:44,3.17,0.58,23.6,Discharging
2023-11-15 19:59:33,3.17,0.59,23.46,Discharging
2023-11-15 19:59:22,3.17,0.57,23.61,Discharging
2023-11-15 19:59:11,3.17,0.57,23.38,Discharging
2023-11-15 19:59:00,3.17,0.58,23.53,Discharging
2023-11-15 19:58:49,3.17,0.57,23.79,Discharging
2023-11-15 19:58:38,3.17,0.57,23.46,Discharging
2023-11-15 19:58:27,3.17,0.58,23.45,Discharging
2023-11-15 19:58:16,3.17,0.57,23.68,Discharging
2023-11-15 19:58:04,3.17,0.57,23.5,Discharging
2023-11-15 19:57:53,3.17,0.57,23.54,Discharging
2023-11-15 19:57:42,3.17,0.58,23.64,Discharging
2023-11-15 19:57:31,3.17,0.57,23.55,Discharging
2023-11-15 19:57:20,3.17,0.57,23.5,Discharging
2023-11-15 19:57:09,3.17,0.58,23.3,Discharging
2023-11-15 19:56:58,3.17,0.58,23.74,Discharging
2023-11-15 19:56:47,3.17,0.57,23.62,Discharging
2023-11-15 19:56:35,3.17,0.57,23.52,Discharging
2023-11-15 19:56:24,3.17,0.58,23.66,Discharging
2023-11-15 19:56:13,3.17,0.58,23.59,Discharging
2023-11-15 19:56:02,3.17,0.58,23.56,Discharging
2023-11-15 19:55:51,3.17,0.58,23.47,Discharging
2023-11-15 19:55:40,3.17,0.57,23.63,Discharging
2023-11-15 19:55:29,3.17,0.57,23.56,Discharging
2023-11-15 19:55:18,3.17,0.58,23.42,Discharging
2023-11-15 19:55:07,3.17,0.58,23.68,Discharging
2023-11-15 19:54:55,3.17,0.57,23.77,Discharging
2023-11-15 19:54:44,3.17,0.58,23.52,Discharging
2023-11-15 19:54:33,3.17,0.57,23.73,Discharging
2023-11-15 19:54:22,3.17,0.58,23.75,Discharging
2023-11-15 19:54:11,3.17,0.58,23.84,Discharging
2023-11-15 19:54:00,3.17,0.58,23.7,Discharging
2023-11-15 19:53:49,3.17,0.58,23.53,Discharging
2023-11-15 19:53:38,3.17,0.58,23.64,Discharging
2023-11-15 19:53:26,3.17,0.58,23.7,Discharging
2023-11-15 19:53:15,3.17,0.57,23.59,Discharging
2023-11-15 19:53:04,3.17,0.57,23.53,Discharging
